signal_id,channel,direction,signal_received_utc,market_filled_utc,fill_latency_ms,range_arrived_utc,range_delay_sec,tps_arrived_utc,range_low,range_high,market_entry_price,tps_initial,sl_initial,sl_final,range_decision,adverse_action,n_tickets_opened,n_dca_filled,total_lot,mfe_usd,mae_usd,mfe_at,mae_at,n_mgmt_msgs,mgmt_msgs_classified,mgmt_msgs_applied,closed_at_utc,closed_by,duration_sec,total_pnl_usd,tag,notes
canal2_13432,canal2,SELL,2026-06-08T07:00:26.470,2026-06-08T07:00:26.626,155,2026-06-08T07:00:49.133,22.5,,4299.5,4304.0,4299.65,,,4308.0,A_inside,rescue_market,5,0,,12.75,-1.03,2026-06-08T07:03:05.442+00:00,2026-06-08T07:00:59.149+00:00,3,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true]",2026-06-08T07:03:40.934,LOSS_BE,194.3,2.74,WIN_CLEAN,"auto-finalize: TP1×1, LOSS_BE×4"
canal2_13437,canal2,SELL,2026-06-08T08:02:25.276,2026-06-08T08:02:25.422,145,2026-06-08T08:02:39.775,14.4,,4292.0,4296.0,4291.85,,,4300.0,A_inside,rescue_market,5,0,,0.0,-22.66,,2026-06-08T08:03:56.548+00:00,3,"[""INFORMATIONAL"", ""CLOSE_FIRST"", ""MOVE_SL_TO_BE""]","[true, true, true]",2026-06-08T08:04:57.369,SL,151.9,-5.86,LOSS_CLEAN,auto-finalize: SL×5
canal2_13445,canal2,SELL,2026-06-08T09:17:49.655,2026-06-08T09:17:49.787,132,2026-06-08T09:18:00.785,11.0,,4288.0,4292.0,4287.62,,,4297.0,A_inside,rescue_market,5,0,,12.86,-13.78,2026-06-08T09:34:46.765+00:00,2026-06-08T09:21:01.516+00:00,13,"[""INFORMATIONAL"", ""MOVE_SL_TO_BE"", ""CLOSE_FIRST"", ""CLOSE_FIRST"", ""CLOSE_AT_TP"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""GEMINI_FAILED"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true, true, true, true, true, true, false, true, true, true, true]",2026-06-08T09:36:43.581,CLOSE_FIRST,1133.8,1.65,WIN_SHORT,"auto-finalize: CLOSE_FIRST×3, LOSS_BE×2"
canal2_13457,canal2,SELL,2026-06-08T09:45:15.824,2026-06-08T09:45:15.961,136,2026-06-08T09:45:17.121,1.2,,4293.5,4297.0,4293.06,,,4298.0,A_inside,rescue_market,5,0,,0.0,-17.419999999999998,,2026-06-08T09:45:57.637+00:00,1,"[""INFORMATIONAL""]",[true],2026-06-08T09:46:02.711,SL,46.8,-21.24,LOSS_CLEAN,auto-finalize: SL×5
canal2_13460,canal2,SELL,2026-06-08T09:53:35.171,2026-06-08T09:53:35.307,136,2026-06-08T09:53:47.914,12.6,,4293.5,4297.0,4293.52,,,4303.0,A_inside,rescue_market,5,0,,0.44000000000000006,-9.81,2026-06-08T09:56:01.005+00:00,2026-06-08T09:55:19.888+00:00,1,"[""MOVE_SL_TO_BE""]",[true],2026-06-08T09:56:16.638,LOSS_BE,161.3,-2.82,LOSS_CLEAN,auto-finalize: LOSS_BE×5
canal1_20102,canal1,SELL,2026-06-08T10:36:14.034,2026-06-08T10:36:14.180,146,2026-06-08T10:37:06.689,52.5,,4302.0,4305.0,4301.55,,,4320.0,A_inside,rescue_market,4,0,,10.74,-12.92,2026-06-08T10:55:53.366+00:00,2026-06-08T10:45:17.604+00:00,4,"[""GEMINI_FAILED"", ""MOVE_SL_TO_BE"", ""MOVE_SL_TO_BE"", ""INFORMATIONAL""]","[false, true, true, true]",2026-06-08T10:58:31.736,LOSS_BE,1337.6,2.21,WIN_SHORT,"auto-finalize: TP1×1, LOSS_BE×3"
canal1_20109,canal1,SELL,2026-06-08T11:16:18.789,2026-06-08T11:16:18.915,125,2026-06-08T11:17:09.205,50.3,,4312.0,4315.0,4312.7,,,4325.0,A_inside,rescue_market,4,0,,0.0,-53.05,,2026-06-08T11:20:11.097+00:00,1,"[""MOVE_SL_TO_PRICE""]",[true],2026-06-08T11:20:16.107,SL,237.2,-60.02,LOSS_CLEAN,auto-finalize: SL×4
canal1_20113,canal1,SELL,2026-06-08T11:27:24.513,2026-06-08T11:27:24.639,126,,,2026-06-08T11:28:16.276,,,4326.76,"[4324.0, 4320.0, 4315.0, 4310.0]",4345.0,4345.0,,rescue_market,4,0,,0.0,0.0,,,1,"[""MOVE_SL_TO_BE""]",[true],2026-06-08T11:30:43.770,RECONCILER,199.1,2.39,WIN_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal2_13465,canal2,BUY,2026-06-08T11:32:13.495,2026-06-08T11:32:13.634,138,2026-06-08T11:32:33.050,19.4,,4325.5,4329.5,4330.03,,,4321.0,A_inside,rescue_market,5,0,,9.89,-1.88,2026-06-08T11:32:53.192+00:00,2026-06-08T11:32:33.312+00:00,3,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true]",2026-06-08T11:33:28.506,LOSS_BE,74.9,2.14,WIN_CLEAN,"auto-finalize: TP1×1, LOSS_BE×4"
canal1_20118,canal1,SELL,2026-06-08T12:31:48.749,2026-06-08T12:31:48.871,122,,,2026-06-08T12:32:29.190,,,4330.45,"[4326.0, 4322.0, 4317.0, 4312.0]",4345.0,4345.0,,rescue_market,4,0,,0.0,0.0,,,1,"[""MOVE_SL_TO_BE""]",[true],2026-06-08T12:36:44.745,RECONCILER,295.9,0.0,OTHER,cierre MT5 detectado por reconciler (monitor no lo registro)
canal2_13471,canal2,BUY,2026-06-08T12:50:10.473,2026-06-08T12:50:10.595,121,2026-06-08T12:50:18.324,7.7,,4329.0,4333.0,4333.01,,,4326.0,A_inside,rescue_market,5,0,,1.0300000000000002,-24.240000000000002,2026-06-08T12:50:28.350+00:00,2026-06-08T12:53:16.151+00:00,2,"[""MOVE_SL_TO_PRICE"", ""CLOSE_FIRST""]","[true, true]",2026-06-08T12:55:44.046,CLOSE_FIRST,333.5,-14.29,LOSS_CLEAN,auto-finalize: CLOSE_FIRST×5
canal1_20123,canal1,SELL,2026-06-08T13:00:49.955,2026-06-08T13:00:50.098,143,,,2026-06-08T13:01:00.960,,,4331.71,"[4326.0, 4322.0, 4317.0, 4312.0]",4345.0,4345.0,,rescue_market,4,0,,0.0,0.0,,,1,"[""MOVE_SL_TO_BE""]",[true],2026-06-08T13:03:45.350,RECONCILER,175.3,0.0,OTHER,cierre MT5 detectado por reconciler (monitor no lo registro)
